company_name,original_website,final_url,redirected,domain_changed,merger_indicators,status,confidence,notes,acquirer_name,announcement_link
Byte Trading,https://byte-trading.com/,,False,False,Lien acquisition trouvé via Google,CLOSED,0.8,Site inaccessible,,https://www.hextrust.com/resources-collection/hex-trust-acquires-byte-trading
SolanaFM,https://solana.fm/?cluster=mainnet-qn1,https://solana.fm/?cluster=mainnet-qn1,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
WazirX,https://wazirx.com,https://wazirx.com/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Blox,https://www.bloxstaking.com,,False,False,,CLOSED,0.8,Site inaccessible,,https://www.businesswire.com/news/home/20211020005120/en/Lukka-Acquires-Blox-Finance-Crypto-Accounting-and-Infrastructure-Business
GAMEE,https://token.gamee.com,https://www.arc8.com/,True,True,Redirection significative: token.gamee.com → www.arc8.com | Acquisition détectée: 'subsidiary of' | Acquéreur: animoca brands. it features a v | Lien acquisition trouvé via Google,CLOSED,0.7,Redirection vers domaine différent,animoca brands. it features a v,https://www.animocabrands.com/launch-gamee-token
Satsuma,https://www.satsuma.xyz/,https://www.satsuma.xyz/,False,False,Lien acquisition trouvé via Google,CLOSED,0.8,Erreur 404,,https://blockworks.co/news/alchemy-satsuma-acquisition
Change,https://changeinvest.com,https://www.changeinvest.com/,True,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://www.changeinvest.com/blog
BRD,https://brd.com/,,False,False,Lien acquisition trouvé via Google,CLOSED,0.8,Site inaccessible,,https://www.coindesk.com/business/2021/11/24/coinbase-acquires-crypto-wallet-firm-brd-for-undisclosed-amount
Ape Board,https://apeboard.finance/,https://apeboard.finance/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Utrust,https://utrust.com,https://www.xmoney.com/,True,True,Redirection significative: utrust.com → www.xmoney.com,CLOSED,0.7,Redirection vers domaine différent,,https://www.coindesk.com/business/2022/01/11/elrond-foundation-acquires-crypto-payments-firm-utrust
Zabo,https://zabo.com,,False,False,Lien acquisition trouvé via Google,CLOSED,0.9,Site inaccessible,,https://cryptonary.com/cryptocurrency-startup-zabo-acquired-by-coinbase/
OpenFinance,https://www.openfinance.io/,,False,False,,CLOSED,0.8,Site inaccessible,,https://www.businesswire.com/news/home/20201027005773/en/INX-to-Acquire-Openfinance-Securities-LLC
SimpleHash,https://simplehash.com/,https://simplehash.com/,False,False,Acquisition détectée: 'acquired by' | Acquéreur: phantom | Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.8,Site accessible avec mots-clés d'acquisition,phantom,https://simplehash.com/blog/simplehash-acquisition-by-phantom
Skew,https://www.skew.com,,False,False,Lien acquisition trouvé via Google,CLOSED,0.8,Site inaccessible,,https://www.coinbase.com/fr/blog/coinbase-to-acquire-leading-institutional-data-analytics-platform-skew
Edureka,http://www.edureka.co,https://www.edureka.co:443/,True,True,Redirection significative: www.edureka.co → www.edureka.co:443 | Lien d'annonce trouvé sur la page | Lien acquisition trouvé via Google,CLOSED,0.7,Redirection vers domaine différent,,https://pitchbook.com/profiles/company/84566-80
Amino Payments,https://www.aminopay.com/,,False,False,Lien acquisition trouvé via Google,CLOSED,0.8,Site inaccessible,,https://integralads.com/news/ias-acquires-amino-payments/
Cybavo,https://www.cybavo.com,https://www.circle.com/,True,True,Redirection significative: www.cybavo.com → www.circle.com | Lien d'annonce trouvé sur la page | Lien acquisition trouvé via Google,CLOSED,0.7,Redirection vers domaine différent,,https://www.circle.com/blog/circle-signs-agreement-to-acquire-crypto-infrastructure-platform-cybavo
Evernym,http://evernym.com/,https://www.evernym.com/,True,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://www.evernym.com/category/blog/
Staging Labs,https://www.staginglabs.io/,https://www.staginglabs.io/,False,False,Acquisition détectée: 'acquired by' | Acquéreur: merkle science | Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.8,Site accessible avec mots-clés d'acquisition,merkle science,https://blog.merklescience.com/newsevents/announcement-merkle-science-acquires-staging-labs-to-boost-evm-attribution?_gl=1*1vzkuko*_ga*NTgzNTMyNzU5LjE3MTcxNDUyNzU.*_ga_FEKM9EDSNH*MTcxNzU5MjAwNi4yNzAuMS4xNzE3NTkyMTMxLjYwLjAuMA..*_gcl_au*NjU3MjYyODU5LjE3MTAyNDU3MDUuNTkwMTA2MTQ3LjE3MTY5OTU3NDAuMTcxNjk5NTc0MA..&amp;_ga=2.177866406.244718479.1717408820-583532759.1717145275
Gem,http://gem.co,,False,False,Lien acquisition trouvé via Google,CLOSED,0.8,Site inaccessible,,https://www.linkedin.com/company/gem-hq
Staked us,https://staked.us/,https://staked.us/,False,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://blog.staked.us/blog
Jet Protocol Holdings,https://jetprotocol.io,https://jetprotocol.io/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Arise Travel,https://arise.travel/,,False,False,Lien acquisition trouvé via Google,CLOSED,0.8,Site inaccessible,,https://www.phocuswire.com/derbysoft-acquires-arise
Solscan,https://solscan.io/,https://solscan.io/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Vinter,https://vinter.co,https://vinter.co/,False,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://assets.squarespace.com/universal/styles-compressed/commerce-8f5ae491a383883f-min.en-US.css
Cambridge Blockchain,http://www.cambridge-blockchain.com/,,False,False,,CLOSED,0.8,Site inaccessible,,http://www.cambridge-blockchain.com/
TAP Network,https://mytaprewards.com,https://www.mytaprewards.com/,True,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
